Antiarrhythmics | group
Sedative | group
hypnotics | group
Neuroleptic | group
protease inhibitors | group
Antimycobacterial | group
protease inhibitors | group
antiretroviral agents | group
HMG-CoA Reductase inhibitors | group
Protease inhibitor | group
HIV Antiviral Agents | group
Antiarrhythmics | group
antiarrhythmic agents | group
antiarrhythmics | group
Anticonvulsants | group
Calcium Channel Blockers | group
Dihydropyridine | group
dihydropyridine calcium channel blockers | group
HMG-CoA Reductase Inhibitor | group
HMG-CoA reductase inhibitors | group
Immunosuppressants | group
immunosuppressant agents | group
anesthetics | group
sympathomimetic amines | group
macrolide immunosuppressant | group
calcium channel blocker | group
immunosuppressive drugs | group
calcium antagonists | group
opioids | group
opioid | group
opioids | group
benzodiazepines | group
barbituates | group
anticholinergic drugs | group
tricyclic antidepressants | group
antiparkinsonian agents | group
anticoagulants of the coumarin type | group
sulphonylureas | group
immuno-suppressant | group
anion-exchange resins | group
MAO-inhibitors | group
ganglion blocking compounds | group
diuretic | group
salicylate | group
CNS-depressant drug | group
TCAs | group
Noncardioselective beta-blockers | group
beta-blocker | group
cardioselective beta-blocker | group
Anticoagulants | group
anticoagulants | group
diuretics | group
cardiac glycosides | group
sedatives | group
hypnotics | group
coronary vasodilators | group
hypoglycemics | group
NSAIDs | group
antihyperlipidemics | group
antigout drugs | group
contraceptives | group
bronchodilators | group
beta blockers | group
CNS depressants | group
anticholinergic drugs | group
MAOIs | group
AEDs | group
AED | group
AED | group
AEDs | group
AEDs | group
AEDs | group
AEDs | group
AEDs | group
Contraceptives | group
contraceptives | group
anti-ulcer | group
antacids | group
diuretic | group
diuretics | group
diuretics | group
potassium depleting diuretics | group
macrolide antibiotics | group
azole antifungal agents | group
protease inhibitors | group
serotonin reuptake inhibitors | group
cannabinoids | group
estrogens | group
antacid | group
contraceptives | group
ACE inhibitors | group
anticoagulants | group
calcium channel blockers | group
beta blockers | group
cardiac glycosides | group
nitrates | group
sulphonylureas | group
loop diuretics | group
potassium sparing diuretics | group
thiazide diuretics | group
thiazide diuretics | group
magnesium sparing diuretics | group
vitamin D | group
quinolone | group
Quinolones | group
anticoagulants | group
quinolones | group
sulfonylurea agent | group
Multivitamins | group
antacids | group
quinolones | group
quinolone antibiotics | group
protease inhibitors | group
contraceptive agents | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressants | group
tricyclic antidepressants | group
antidepressants | group
tricyclic antidepressant | group
anticholinergic drugs | group
sympathomimetic drugs | group
tricyclic antidepressants | group
tricyclic antidepressants | group
antidepressants | group
tricyclic antidepressants | group
selective serotonin reuptake inhibitors | group
tricyclic antidepressants | group
tricyclic antidepressant | group
tricyclic antidepressants | group
antidepressants | group
phenothiazines | group
Type 1C antiarrhythmics | group
estrogen | group
estrogens | group
benzodiazepines | group
anticonvulsants | group
antihistamines | group
barbiturates | group
monoamine oxidase inhibitors | group
narcotics | group
phenothiazines | group
psychotropic medications | group
benzodiazepines | group
barbiturates | group
triazolobenzodiazepines | group
benzodiazepines | group
macrolide antibiotics | group
thienobenzodiazepine derivative | group
second generation (atypical) antipsychotic agent | group
conventional antipsychotics | group
opioids | group
sedatives | group
phenothiazines | group
anesthetics | group
anticholinergic agent | group
antifungal agents | group
benzodiazepine class | group
narcotics | group
barbiturates | group
nonbarbiturate hypnotics | group
antianxiety agents | group
phenothiazines classes of antipsychotic agents | group
thioxanthene classes of antipsychotic agents | group
butyrophenone classes of antipsychotic agents | group
monoamine oxidase inhibitors | group
tricyclic antidepressants | group
anticonvulsant drugs | group
vitamin D analogues | group
fat soluble vitamins | group
vitamin D | group
vitamin D | group
Thiazides | group
Thiazides | group
thiazides | group
vitamin D | group
Digitalis | group
Vitamin D | group
digitalis | group
vitamin D | group
vitamin D | group
Corticosteroids | group
vitamin D analogues | group
corticosteroids | group
vitamin D | group
Vitamin D | group
vitamin D analogues | group
antacids | group
vitamin D | group
carbonic anhydrase inhibitors | group
MAO inhibitors | group
psychotropic drugs | group
antineoplastic agents | group
laxative | group
diuretics | group
proton pump inhibitors | group
contraceptives | group
anticoagulants | group
platelet inhibitors | group
NSAIDs | group
coumarin | group
vitamin K antagonists | group
Antithrombotics | group
glucocorticoid | group
coumarin | group
Diuretics | group
diuretics | group
diuretic | group
Potassium-Sparing Diuretics | group
thiazide diuretics | group
Potassium-sparing diuretics | group
Anticoagulants | group
anticoagulants | group
ACE inhibitors | group
diuretic | group
beta-adrenergic-blocking agents | group
calcium-channel-blocking agents | group
diuretics | group
ACE inhibitors | group
beta-adrenergic blockers | group
vasodilators | group
nonsteroidal anti-inflammatory agents | group
NSAIDs | group
salicylates | group
monoamine oxidase inhibitors | group
non-selective beta-adrenergic-blocking agents | group
antidiabetic drugs | group
thiazides | group
corticosteroids | group
thyroid products | group
sympathomimetics | group
antidiabetic drugs | group
Opioids | group
central nervous system depressants | group
central nervous system depressants | group
central nervous system depressants | group
benzodiazepines | group
benzodiazepines | group
angiotensin-converting enzyme inhibitor | group
diuretics | group
non-steroidal anti-inflammatory agent | group
loop diuretics | group
potassium-sparing diuretics | group
thiazide diuretics | group
non-steroidal anti-inflammatory agents | group
diuretic | group
potassium-sparing diuretics | group
cholinesterase inhibitors | group
Salicylate | group
salicylate | group
anticoagulants | group
diuretic | group
NSAIDs | group
Nondepolarizing Muscle Relaxants | group
nondepolarizing muscle relaxants | group
muscle relaxants | group
ACE Inhibitors | group
ACE inhibitors | group
Antiepileptic Drugs | group
antiepileptic drugs | group
Psychoactive Drugs | group
psychoactive drugs | group
Steroids | group
carbonic anhydrase inhibitor | group
carbonic anhydrase inhibitors | group
anticoagulants | group
platelet inhibitors | group
NSAIDs | group
aminoglycosides | group
anti-neoplastic agents | group
androgens | group
anabolic hormones | group
estrogens | group
estrogen-containing compounds | group
glucocorticoids | group
salicylates | group
androgens | group
antithyroid drugs | group
b-adrenergic blocking agents | group
dopamine agonists | group
glucocorticoids | group
iodine-containing compounds | group
somatostatin analogs | group
sulfonamides | group
sulfonylureas | group
thiazide diuretics | group
Anticoagulants | group
anticoagulants | group
Antidiabetic Agents | group
Sulfonylureas | group
antidiabetic agents | group
b-Adrenergic Blocking Agents | group
beta-blocking agents | group
Cytokines | group
interferon | group
interleukin | group
Cytokines | group
Digitalis Glycosides | group
digitalis glycosides | group
digitalis | group
thyroid hormone | group
Tricyclic Antidepressants | group
tricyclics | group
Sympathomimetic Agents | group
Non-selective monoamine oxidase (MAO) inhibitors | group
non-selective MAO inhibitors | group
selective MAO inhibitor | group
Neuroleptic Drugs | group
neuroleptic drugs | group
macrolide antibiotics | group
hydroxymethylglutaryl coenzyme A (HMG-CoA) reductase inhibitors | group
HMG-CoA reductase inhibitors | group
Macrolide antibiotics | group
HMG-CoA reductase inhibitors | group
xanthine derivatives | group
b-lactam antibiotics | group
tricyclic antidepressants | group
MAOIs | group
phenothiazines | group
hypnotic agent | group
anesthetic solutions | group
monoamine oxidase inhibitors | group
tricyclic antidepressants | group
vasopressor drugs | group
ergot-type oxytocic drugs | group
Phenothiazines | group
butyrophenones | group
quinolone antibiotics | group
