Indinavir | drug
Indinavir | drug
indinavir | drug
indinavir | drug
indinavir | drug
indinavir | drug
amiodarone | drug
dihydroergotamine | drug
ergonovine | drug
ergotamine | drug
methylergonovine | drug
midazolam | drug
triazolam | drug
cisapride | drug
pimozide | drug
rifampin | drug
lovastatin | drug
simvastatin | drug
atazanavir | drug
atazanavir | drug
atazanavir | drug
Delavirdine | drug
indinavir | drug
delavirdine | drug
Didanosine | drug
Indinavir | drug
didanosine | drug
Efavirenz | drug
indinavir | drug
indinavir | drug
efavirenz | drug
indinavir | drug
indinavir | drug
efavirenz | drug
Nelfinavir | drug
indinavir | drug
Nevirapine | drug
indinavir | drug
Indinavir | drug
nevirapine | drug
Ritonavir | drug
indinavir | drug
ritonavir | drug
indinavir | drug
ritonavir | drug
Saquinavir | drug
saquinavir | drug
bepridil | drug
lidocaine | drug
quinidine | drug
carbamazepine | drug
phenobarbital | drug
phenytoin | drug
indinavir | drug
indinavir | drug
felodipine | drug
nifedipine | drug
nicardipine | drug
Clarithromycin | drug
clarithromycin | drug
indinavir | drug
atorvastatin | drug
atorvastatin | drug
atorvastatin | drug
pravastatin | drug
fluvastatin | drug
rosuvastatin | drug
cyclosporine | drug
tacrolimus | drug
sirolimus | drug
Itraconazole | drug
indinavir | drug
itraconazole | drug
Ketoconazole | drug
indinavir | drug
Rifabutin | drug
indinavir | drug
rifabutin | drug
rifabutin | drug
rifabutin | drug
Sildenafil | drug
sildenafil | drug
Sildenafil | drug
indinavir | drug
Tadalafil | drug
tadalafil | drug
Tadalafil | drug
indinavir | drug
Vardenafil | drug
vardenafil | drug
Vardenafil | drug
indinavir | drug
Isoproterenol hydrochloride | drug
epinephrine | drug
halothane | drug
diltiazem | drug
sirolimus | drug
sirolimus | drug
diltiazem | drug
sirolimus | drug
diltiazem | drug
sirolimus | drug
diltiazem | drug
sirolimus | drug
sirolimus | drug
sirolimus | drug
diltiazem | drug
diltiazem | drug
sirolimus | drug
diltiazem | drug
diltiazem | drug
sirolimus | drug
sirolimus | drug
sirolimus | drug
diltiazem | drug
sirolimus | drug
Chlorprothixene | drug
lithium | drug
lithium | drug
lithium | drug
chlorprothixene | drug
chlorprothixene | drug
chlorprothixene | drug
tramadol | drug
chlorprothixene | drug
chlorprothixene | drug
anticoagulant | drug
insulin | drug
insulin | drug
bezafibrate | drug
bezafibrate | drug
cholestryramine | drug
Perhexiline hydrogen maleate | drug
Corticotropin | drug
nizatidine | drug
theophylline | drug
chlordiazepoxide | drug
lorazepam | drug
lidocaine | drug
phenytoin | drug
warfarin | drug
Nizatidine | drug
nizatidine | drug
guanfacine | drug
guanfacine | drug
phenobarbital | drug
phenytoin | drug
guanfacine | drug
guanfacine | drug
nadolol | drug
timolol | drug
guanfacine | drug
guafacine | drug
guanfacine | drug
guanfacine | drug
guanfacine | drug
insulin | drug
guanfacine | drug
guanfacine | drug
Ethopropazine | drug
alcohol | drug
amantadine | drug
Ethopropazine | drug
chlorpromazine | drug
chlorpromazine | drug
Phenytoin | drug
phenobarbital | drug
carbamazepine | drug
valproate | drug
gabapentin | drug
Phenytoin | drug
Tiagabine | drug
phenytoin | drug
Carbamazepine | drug
Tiagabine | drug
carbamazepine | drug
Valproate | drug
Tiagabine | drug
valproate | drug
Phenobarbital | drug
Primidone | drug
tiagabine | drug
phenobarbital | drug
primidone | drug
tiagabine | drug
phenobarbital | drug
primidone | drug
Carbamazepine | drug
tiagabine | drug
carbamazepine | drug
Phenytoin | drug
tiagabine | drug
phenytoin | drug
Phenobarbital | drug
Primidone | drug
tiagabine | drug
